产品,工艺段,过程步骤,功能,失效模式,失效影响(S),严重度,失效原因,发生度,现行控制,探测度,措施
ADAS域控,离线烧录@SMT前,SOC+eMMC烧录,程序与CSR一致,错版/漏烧,整车功能安全相关 S10,10,烧录器脚本未锁定,3,Checksum比对,2,双人复核+版本门禁
ADAS域控,SMT,锡膏印刷,BGA足锡,体积偏低,ADAS感知失效 S9,9,钢网堵塞,4,SPI,3,钢网清洗周期DOE
ADAS域控,SMT,BGA回流,形成IMC,空洞超标,Eth丢包 S9,9,Profile漂移,3,炉温曲线+AXI,4,SL全检;MP抽检NG加严
车身域控,测试,FCT独立台,网络自检,CAN/LIN失败,车身功能降级 S9,9,混用ADAS程序/探针,4,FCT-DCU-B-04,3,工站隔离+程序版本锁
车身域控,手插,接插件安装,定位可靠,浮高,车身网络间歇 S8,8,治具磨损,4,通断检,5,治具MSA
座舱域控,离线烧录,eMMC烧录,镜像完整,校验失败,无法启动 S9,9,接口接触不良,3,100%校验,2,夹具寿命管理
座舱域控,SMT,细间距贴装,元件就位,立碑/偏移,域控重启 S8,8,喂料异常,3,AOI,3,料架5S
中控HU,装配,显示贴合,无气泡,贴合不良,触控失灵 S7,7,压力参数,4,贴合AOI,4,压力DOE
组合仪表,装配,指针压装,扭矩合格,松动,指示偏差 S8,8,扭矩枪失准,3,扭矩记录,4,扭矩MSA
ADAS域控,测试,FCT,网络自检,CAN/Eth失败,ADAS功能降级 S9,9,探针磨损+前序BGA,5,100%FCT,2,缺陷-过程矩阵
